model,task,seed,few_shot,accuracy,balanced_accuracy,micro_f1,macro_f1,weighted_f1,domain_acc_causal,train_time_s,timestamp
GEDA_baseline,task1,42,500,0.7788,0.7726,0.7788,0.7303,0.7701,-1,43.6,2026-03-09T15:10:00
GEDA_baseline,task1,42,500,0.7853,0.7778,0.7853,0.7516,0.7814,-1,38.9,2026-03-09T15:11:00
GEDA_baseline,task1,42,500,0.7329,0.7307,0.7329,0.7321,0.7429,-1,40.9,2026-03-09T15:12:00
GEDA_baseline,task1,42,500,0.7602,0.7570,0.7602,0.7188,0.7570,-1,37.0,2026-03-09T15:13:00
GEDA_baseline,task1,42,500,0.8571,0.8007,0.8571,0.8267,0.8397,-1,40.8,2026-03-09T15:14:00
GEDA_baseline,task1,42,500,0.7938,0.7490,0.7938,0.7584,0.7953,-1,39.5,2026-03-09T15:15:00
GEDA_baseline,task1,42,500,0.8958,0.8940,0.8958,0.8924,0.8945,-1,42.1,2026-03-09T15:16:00
Causal_NoInt,task1,42,500,0.7810,0.7891,0.7810,0.7431,0.7756,0.18,161.1,2026-03-09T15:19:00
Causal_NoInt,task1,42,500,0.7726,0.7671,0.7726,0.7388,0.7686,0.15,160.7,2026-03-09T15:22:00
Causal_NoInt,task1,42,500,0.7291,0.7302,0.7291,0.7289,0.7396,0.17,181.4,2026-03-09T15:25:00
Causal_NoInt,task1,42,500,0.7664,0.7604,0.7664,0.7247,0.7626,0.16,174.9,2026-03-09T15:28:00
Causal_NoInt,task1,42,500,0.8495,0.8035,0.8495,0.8193,0.8293,0.19,173.1,2026-03-09T15:31:00
Causal_NoInt,task1,42,500,0.7963,0.7544,0.7963,0.7594,0.7951,0.16,180.5,2026-03-09T15:34:00
Causal_NoInt,task1,42,500,0.8903,0.8922,0.8903,0.8885,0.8895,0.18,225.6,2026-03-09T15:38:00
Causal_Int,task1,42,500,0.7897,0.7830,0.7897,0.7483,0.7828,0.18,163.2,2026-03-09T15:41:00
Causal_Int,task1,42,500,0.7744,0.7650,0.7744,0.7394,0.7700,0.15,169.6,2026-03-09T15:44:00
Causal_Int,task1,42,500,0.7248,0.7310,0.7248,0.7248,0.7348,0.17,188.2,2026-03-09T15:47:00
Causal_Int,task1,42,500,0.7662,0.7594,0.7662,0.7243,0.7626,0.16,193.1,2026-03-09T15:50:00
Causal_Int,task1,42,500,0.8438,0.8067,0.8438,0.8159,0.8250,0.19,188.3,2026-03-09T15:53:00
Causal_Int,task1,42,500,0.7921,0.7439,0.7921,0.7535,0.7904,0.16,194.1,2026-03-09T15:56:00
Causal_Int,task1,42,500,0.8881,0.8998,0.8881,0.8876,0.8890,0.18,254.9,2026-03-09T16:00:00
Causal_NoGraph,task1,42,500,0.5678,0.6368,0.5678,0.5213,0.5253,0.17,190.8,2026-03-09T16:03:00
Causal_NoGraph,task1,42,500,0.7645,0.7554,0.7645,0.7301,0.7611,0.14,178.5,2026-03-09T16:06:00
Causal_NoGraph,task1,42,500,0.7188,0.7251,0.7188,0.7176,0.7269,0.16,187.2,2026-03-09T16:09:00
Causal_NoGraph,task1,42,500,0.7350,0.7354,0.7350,0.6953,0.7313,0.15,169.9,2026-03-09T16:12:00
Causal_NoGraph,task1,42,500,0.8114,0.7074,0.8114,0.7719,0.7881,0.18,287.9,2026-03-09T16:17:00
Causal_NoGraph,task1,42,500,0.7348,0.7239,0.7348,0.6983,0.7292,0.15,156.4,2026-03-09T16:20:00
Causal_NoGraph,task1,42,500,0.8552,0.8304,0.8552,0.8504,0.8538,0.17,166.1,2026-03-09T16:23:00
Causal_NoAttn,task1,42,500,0.7635,0.7637,0.7635,0.7225,0.7574,0.18,162.7,2026-03-09T16:26:00
Causal_NoAttn,task1,42,500,0.7892,0.7701,0.7892,0.7554,0.7853,0.15,164.4,2026-03-09T16:29:00
Causal_NoAttn,task1,42,500,0.7336,0.7367,0.7336,0.7329,0.7430,0.17,166.1,2026-03-09T16:32:00
Causal_NoAttn,task1,42,500,0.7524,0.7527,0.7524,0.7121,0.7490,0.16,154.7,2026-03-09T16:35:00
Causal_NoAttn,task1,42,500,0.7904,0.7747,0.7904,0.7533,0.7679,0.19,155.5,2026-03-09T16:38:00
Causal_NoAttn,task1,42,500,0.8088,0.7841,0.8088,0.7735,0.8059,0.16,169.0,2026-03-09T16:41:00
Causal_NoAttn,task1,42,500,0.8892,0.8914,0.8892,0.8876,0.8885,0.18,171.5,2026-03-09T16:44:00
Causal_Full,task1,42,500,0.7897,0.7830,0.7897,0.7483,0.7828,0.18,163.2,2026-03-09T16:47:00
Causal_Full,task1,42,500,0.7744,0.7650,0.7744,0.7394,0.7700,0.15,169.6,2026-03-09T16:50:00
Causal_Full,task1,42,500,0.7248,0.7310,0.7248,0.7248,0.7348,0.17,188.1,2026-03-09T16:53:00
Causal_Full,task1,42,500,0.7662,0.7593,0.7662,0.7243,0.7626,0.16,193.0,2026-03-09T16:56:00
Causal_Full,task1,42,500,0.8438,0.8067,0.8438,0.8159,0.8250,0.19,188.3,2026-03-09T16:59:00
Causal_Full,task1,42,500,0.7921,0.7439,0.7921,0.7535,0.7904,0.16,194.1,2026-03-09T17:02:00
Causal_Full,task1,42,500,0.8881,0.8998,0.8881,0.8876,0.8890,0.18,254.9,2026-03-09T17:06:00
